
INFO - 2022-12-07 15:48:42,666 - solving questions of constructor 
INFO - 2022-12-07 15:48:42,666 - adding students details 
INFO - 2022-12-07 15:48:42,666 - adding students details 
INFO - 2022-12-07 15:48:42,666 - Write a Python program to create a Vehicle class with max_speed and mileage instance attributes. 
INFO - 2022-12-07 15:48:42,667 - passing a empty class named class1 
INFO - 2022-12-07 15:48:42,667 - create a child class that has values of ineuron class 
INFO - 2022-12-07 15:48:42,667 - information of courses ineuron has 
INFO - 2022-12-07 15:48:42,667 - information about bank servies 
INFO - 2022-12-07 15:48:42,667 - print youtube  
WARNING - 2022-12-07 15:49:12,199 - This will get logged to a file 
INFO - 2022-12-07 15:49:12,199 - solving questions of constructor 
INFO - 2022-12-07 15:49:12,199 - adding students details 
INFO - 2022-12-07 15:49:12,199 - adding students details 
INFO - 2022-12-07 15:49:12,199 - Write a Python program to create a Vehicle class with max_speed and mileage instance attributes. 
INFO - 2022-12-07 15:49:12,200 - passing a empty class named class1 
INFO - 2022-12-07 15:49:12,200 - create a child class that has values of ineuron class 
INFO - 2022-12-07 15:49:12,200 - information of courses ineuron has 
INFO - 2022-12-07 15:49:12,200 - information about bank servies 
INFO - 2022-12-07 15:49:12,200 - print youtube  
WARNING - 2022-12-22 20:10:04,154 - This will get logged to a file 
INFO - 2022-12-22 20:10:04,154 - solving questions of constructor 
INFO - 2022-12-22 20:10:04,154 - adding students details 
INFO - 2022-12-22 20:10:04,154 - adding students details 
INFO - 2022-12-22 20:10:04,154 - Write a Python program to create a Vehicle class with max_speed and mileage instance attributes. 
INFO - 2022-12-22 20:10:04,154 - passing a empty class named class1 
INFO - 2022-12-22 20:10:04,154 - create a child class that has values of ineuron class 
INFO - 2022-12-22 20:10:04,154 - information of courses ineuron has 
INFO - 2022-12-22 20:10:04,154 - information about bank servies 
INFO - 2022-12-22 20:10:04,154 - print youtube  
